entity_id,canonical_name,entity_type,entity_level,value_chain_stage,reason,recommended_template_node
CE0001,设计,process,L4_object,midstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0002,代工,process,L4_object,midstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0003,封装,industry_link,L3_industry_link,midstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0005,EDA,technology,L4_object,supporting,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0007,汽车半导体,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0008,先进封装技术,technology,L4_object,supporting,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0009,D/3D先进封装,technology,L4_object,supporting,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0010,设备,equipment,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0011,原材料,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0012,EDA软件,technology,L4_object,supporting,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0013,硅片,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0014,金属,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0015,化学品,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0016,气体,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0017,封装材料,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0018,基材,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0019,光刻机,equipment,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0020,晶圆缺陷监测系统,equipment,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0021,封测,industry_link,L3_industry_link,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0022,芯片,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0023,OSAT,industry_link,L3_industry_link,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0026,集成电路,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0027,光电子器件,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0028,分立器件,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0029,传感器,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0030,封装和测试环节,industry_link,L3_industry_link,midstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0038,硅晶圆,material,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0039,沉积设备,equipment,L4_object,upstream,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
CE0040,AI推理芯片,product,L4_object,unknown,缺少已验证父子/输入关系，避免猜测挂载位置,补充明确关系证据后再进入树
