item_id,item_type,page_no,reason,severity,recommended_action,related_output_path
unresolved_table_p013,table,13,表格候选页未检测到可输出的结构化表格,medium,manual_table_review,parsed_documents\新型显示白皮书_7f4f945d7c21_20260713_141503\tables
review_table_p014_t01,table,14,表格结构需人工复核：行数=4，常见列数=2，填充率=1.00，列数一致性=1.00,medium,verify_table_structure,parsed_documents\新型显示白皮书_7f4f945d7c21_20260713_141503\tables\page_014_table_01.json
review_table_p015_t01,table,15,表格结构需人工复核：行数=9，常见列数=3，填充率=1.00，列数一致性=1.00,medium,verify_table_structure,parsed_documents\新型显示白皮书_7f4f945d7c21_20260713_141503\tables\page_015_table_01.json
unresolved_table_p023,table,23,表格候选页未检测到可输出的结构化表格,medium,manual_table_review,parsed_documents\新型显示白皮书_7f4f945d7c21_20260713_141503\tables
review_table_p024_t01,table,24,表格结构需人工复核：行数=3，常见列数=5，填充率=0.93，列数一致性=1.00,medium,verify_table_structure,parsed_documents\新型显示白皮书_7f4f945d7c21_20260713_141503\tables\page_024_table_01.json
review_table_p025_t01,table,25,表格结构需人工复核：行数=2，常见列数=3，填充率=0.67，列数一致性=1.00,medium,verify_table_structure,parsed_documents\新型显示白皮书_7f4f945d7c21_20260713_141503\tables\page_025_table_01.json
review_text_quality_p001,text,1,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_text_quality_p006,text,6,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_text_quality_p007,text,7,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_text_quality_p008,text,8,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p009,layout,9,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p010,layout,10,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p012,layout,12,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p013,layout,13,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p014,layout,14,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p015,layout,15,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p020,layout,20,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p021,layout,21,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p022,layout,22,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p023,layout,23,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p024,layout,24,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p025,layout,25,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p026,layout,26,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p027,layout,27,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_layout_p028,layout,28,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
review_text_quality_p036,text,36,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\新型显示白皮书_7f4f945d7c21_20260713_141503\stage2_sample_evidence_review.md
