review_item_id,source_stage,item_type,priority,reason,related_id,evidence_id,page_no,recommended_action
S4RQ0001,3C,relation,P1,关系候选待复核: 设计->INPUT_TO->代工,t01_r01,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,人工核对原文与结论
S4RQ0002,3C,relation,P1,关系候选待复核: 设计->INPUT_TO->封装,t01_r02,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,人工核对原文与结论
S4RQ0003,3C,relation,P1,关系候选待复核: 设计->INPUT_TO->测试,t01_r03,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,人工核对原文与结论
S4RQ0004,3C,entity,P3,候选被拒绝，需人工确认,t01_e10,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
S4RQ0005,3C,entity,P3,候选被拒绝，需人工确认,t01_e11,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
S4RQ0006,3C,entity,P3,候选被拒绝，需人工确认,t01_e12,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
S4RQ0007,3C,entity,P3,候选被拒绝，需人工确认,t01_e13,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
S4RQ0008,3C,entity,P3,候选被拒绝，需人工确认,t01_e14,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
S4RQ0009,3C,entity,P3,候选被拒绝，需人工确认,t01_e15,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
S4RQ0010,3C,entity,P3,候选被拒绝，需人工确认,t01_e16,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
S4RQ0011,3C,relation,P3,候选被拒绝，需人工确认,t01_r04,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_006,10,重新判定关系类型
S4RQ0012,3C,relation,P3,候选被拒绝，需人工确认,t01_r05,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,重新判定关系类型
S4RQ0013,3C,relation,P3,候选被拒绝，需人工确认,t01_r06,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,重新判定关系类型
S4RQ0014,3C,relation,P3,候选被拒绝，需人工确认,t01_r07,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,23,重新判定关系类型
S4RQ0015,3C,relation,P3,候选被拒绝，需人工确认,t01_r08,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,23,重新判定关系类型
S4RQ0016,3C,relation,P3,候选被拒绝，需人工确认,t01_r09,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,重新判定关系类型
S4RQ0017,3C,relation,P3,候选被拒绝，需人工确认,t01_r10,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,重新判定关系类型
S4RQ0018,3C,relation,P3,候选被拒绝，需人工确认,t01_r11,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,重新判定关系类型
S4RQ0019,3C,relation,P3,候选被拒绝，需人工确认,t01_r12,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,重新判定关系类型
S4RQ0020,3C,relation,P3,候选被拒绝，需人工确认,t01_r13,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,重新判定关系类型
S4RQ0021,3C,relation,P3,候选被拒绝，需人工确认,t01_r14,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,重新判定关系类型
