figure_id,page_no,figure_type,is_chain_diagram_candidate,is_chain_diagram_confirmed,caption,caption_source,nearby_text_evidence_ids,page_image_path,figure_image_path,bbox,source_method,review_required,quality_note
中国半导体白皮书_1b73a8b1f91b_p007_fig01,7,chart,no,no,图 1: 2020年全球半导体产品营收达到约3万亿人民币；受数据中心、IoT和NAND存储市场的需求驱动，预计将保持~7%的复合年增长率至2025年,caption_block,中国半导体白皮书_1b73a8b1f91b_p007_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p007_heading_001;中国半导体白皮书_1b73a8b1f91b_p007_heading_002;中国半导体白皮书_1b73a8b1f91b_p007_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p007_paragraph_003,data\rendered_pages\中国半导体白皮书\page_007.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_007_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
中国半导体白皮书_1b73a8b1f91b_p008_fig01,8,chart,no,no,图 2: 在总约3万亿人民币的半导体市场中，美国芯片销售占据近一半的市场份额，其中以逻辑芯片为主；韩国是存储芯片主要供给地区,caption_block,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p008_caption_001;中国半导体白皮书_1b73a8b1f91b_p008_heading_001;中国半导体白皮书_1b73a8b1f91b_p008_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p008_heading_002,data\rendered_pages\中国半导体白皮书\page_008.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_008_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
中国半导体白皮书_1b73a8b1f91b_p009_fig01,9,chart,no,no,图 3: 在总约3万亿人民币的半导体市场中，手机占比最大，高达~25%；剩余市场较均匀的分布在多个下游应用,caption_block,中国半导体白皮书_1b73a8b1f91b_p009_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p009_caption_001;中国半导体白皮书_1b73a8b1f91b_p009_heading_001;中国半导体白皮书_1b73a8b1f91b_p009_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p009_heading_002,data\rendered_pages\中国半导体白皮书\page_009.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_009_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
中国半导体白皮书_1b73a8b1f91b_p009_fig02,9,chain_diagram,yes,yes,图 4: 半导体价值链主要包括设计、制造、封装环节；上游设备、材料、生产工具也不可或缺,caption_block,中国半导体白皮书_1b73a8b1f91b_p009_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p009_caption_001;中国半导体白皮书_1b73a8b1f91b_p009_heading_001;中国半导体白皮书_1b73a8b1f91b_p009_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p009_heading_002,data\rendered_pages\中国半导体白皮书\page_009.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_009_chain_diagram.png,null,rendered_page_copy_no_visual_inference,yes,完整页面图归档，未识别节点、箭头或关系
中国半导体白皮书_1b73a8b1f91b_p011_fig01,11,chart,no,no,图 5: 中国厂商在前端设备市场处于起步阶段，从沉积、刻蚀设备开始获取份额,caption_block,中国半导体白皮书_1b73a8b1f91b_p011_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p011_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p011_heading_001;中国半导体白皮书_1b73a8b1f91b_p011_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p011_paragraph_004,data\rendered_pages\中国半导体白皮书\page_011.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_011_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
中国半导体白皮书_1b73a8b1f91b_p012_fig01,12,chart,no,no,图 6: 逻辑芯片占据半导体市场约一半的销售额，市场相对分散；存储芯片高度集中；而模拟芯片市场分散，厂商众多,caption_block,中国半导体白皮书_1b73a8b1f91b_p012_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p012_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p012_heading_001;中国半导体白皮书_1b73a8b1f91b_p012_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p012_paragraph_004,data\rendered_pages\中国半导体白皮书\page_012.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_012_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
中国半导体白皮书_1b73a8b1f91b_p013_fig01,13,chart,no,no,图 7: 在芯片制造中，成熟制程占据约70%芯片制造总市场；先进制程芯片制造高度集中在少数厂商,caption_block,中国半导体白皮书_1b73a8b1f91b_p013_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p013_heading_001;中国半导体白皮书_1b73a8b1f91b_p013_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p013_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p013_heading_002,data\rendered_pages\中国半导体白皮书\page_013.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_013_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
中国半导体白皮书_1b73a8b1f91b_p014_fig01,14,chain_diagram,yes,yes,图 8: 中国在半导体价值链各环节面临不同机会与挑战,caption_block,中国半导体白皮书_1b73a8b1f91b_p014_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p014_heading_001;中国半导体白皮书_1b73a8b1f91b_p014_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p014_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p014_paragraph_004,data\rendered_pages\中国半导体白皮书\page_014.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_014_chain_diagram.png,null,rendered_page_copy_no_visual_inference,yes,完整页面图归档，未识别节点、箭头或关系
中国半导体白皮书_1b73a8b1f91b_p015_fig01,15,chart,no,no,图 9: 中国厂商在通讯芯片、模拟芯片与OSD设计、成熟制程制造与封测环节产生较多营收,caption_block,中国半导体白皮书_1b73a8b1f91b_p015_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p015_caption_001;中国半导体白皮书_1b73a8b1f91b_p015_heading_001;中国半导体白皮书_1b73a8b1f91b_p015_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p015_heading_002,data\rendered_pages\中国半导体白皮书\page_015.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_015_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
中国半导体白皮书_1b73a8b1f91b_p017_fig01,17,chart,no,no,图 10: 中国厂商在存储芯片、模拟芯片已建立起了一定的竞争力；CPU/GPU/ASIC处于快速起步阶段，面临一些供应链及生态风险,caption_block,中国半导体白皮书_1b73a8b1f91b_p017_paragraph_001;中国半导体白皮书_1b73a8b1f91b_p017_heading_001;中国半导体白皮书_1b73a8b1f91b_p017_paragraph_002;中国半导体白皮书_1b73a8b1f91b_p017_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p017_caption_001,data\rendered_pages\中国半导体白皮书\page_017.png,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_017_figure_page.png,null,rendered_page_copy_no_visual_inference,yes,普通图表页归档，未自动还原数据点
