evidence_id,page_start,content_type,stage3_priority,review_required,selected,reason
中国半导体白皮书_1b73a8b1f91b_p001_heading_001,1,heading,low,True,False,cover_page
中国半导体白皮书_1b73a8b1f91b_p003_heading_001,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_002,3,heading,low,True,False,toc_page
中国半导体白皮书_1b73a8b1f91b_p003_paragraph_001,3,paragraph,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_paragraph_002,3,paragraph,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_003,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_004,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_005,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_006,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_007,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_008,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_009,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_010,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_011,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_012,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_013,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_014,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_015,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_016,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_017,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_018,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_019,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p003_heading_020,3,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_001,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_002,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_003,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_004,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_005,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_006,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_007,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_008,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_009,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_010,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p004_heading_011,4,heading,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_001,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_heading_001,5,heading,low,False,False,not_in_allowlist
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_002,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_003,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_004,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_005,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_006,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_007,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_008,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_009,5,paragraph,medium,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_010,5,paragraph,medium,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_011,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p005_paragraph_012,5,paragraph,low,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p006_paragraph_001,6,paragraph,high,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p006_heading_001,6,heading,high,False,True,priority_high
中国半导体白皮书_1b73a8b1f91b_p006_paragraph_002,6,paragraph,high,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p006_paragraph_003,6,paragraph,high,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p006_paragraph_004,6,paragraph,high,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p006_paragraph_005,6,paragraph,high,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p006_paragraph_006,6,paragraph,high,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p006_paragraph_007,6,paragraph,high,False,True,paragraph
中国半导体白皮书_1b73a8b1f91b_p007_paragraph_001,7,paragraph,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p007_heading_001,7,heading,medium,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p007_heading_002,7,heading,medium,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p007_paragraph_002,7,paragraph,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p007_paragraph_003,7,paragraph,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p007_paragraph_004,7,paragraph,low,True,False,review_required
中国半导体白皮书_1b73a8b1f91b_p007_paragraph_005,7,paragraph,low,True,False,review_required
