tree_edge_id,parent_tree_node_id,child_tree_node_id,edge_type,sort_order,source_from,is_evidence_fact,evidence_ids,notes
RTE0001,T0001,T0002,DISPLAY_PARENT_OF,1,document_driven_rules,false,,关系子树根挂载到产业链总根
RTE0002,T0001,T0004,DISPLAY_PARENT_OF,2,document_driven_rules,false,,关系子树根挂载到产业链总根
RTE0003,T0001,T0007,DISPLAY_PARENT_OF,3,document_driven_rules,false,,关系子树根挂载到产业链总根
RTE0004,T0001,T0012,DISPLAY_PARENT_OF,4,document_driven_rules,false,,关系子树根挂载到产业链总根
RTE0005,T0001,T0024,DISPLAY_PARENT_OF,5,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p011_paragraph_002;新型显示白皮书_7f4f945d7c21_p011_paragraph_003,行业专属展示分组挂载，非PDF父子关系事实
RTE0006,T0001,T0030,DISPLAY_PARENT_OF,6,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p016_paragraph_002;新型显示白皮书_7f4f945d7c21_p029_paragraph_004;新型显示白皮书_7f4f945d7c21_p030_paragraph_003,行业专属展示分组挂载，非PDF父子关系事实
RTE0007,T0001,T0035,DISPLAY_PARENT_OF,7,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,行业专属展示分组挂载，非PDF父子关系事实
RTE0008,T0002,T0003,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p018_paragraph_001,由approved关系NR0005确定父子层级
RTE0009,T0004,T0005,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p017_paragraph_002,由approved关系NR0007确定父子层级
RTE0010,T0004,T0006,DISPLAY_PARENT_OF,2,approved_relation,true,新型显示白皮书_7f4f945d7c21_p017_paragraph_002,由approved关系NR0006确定父子层级
RTE0011,T0007,T0008,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0002确定父子层级
RTE0012,T0007,T0009,DISPLAY_PARENT_OF,2,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0003确定父子层级
RTE0013,T0007,T0010,DISPLAY_PARENT_OF,3,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0004确定父子层级
RTE0014,T0007,T0011,DISPLAY_PARENT_OF,4,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0001确定父子层级
RTE0015,T0012,T0013,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,由approved关系NR0008确定父子层级
RTE0016,T0003,T0014,DISPLAY_PARENT_OF,1,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p030_paragraph_003;新型显示白皮书_7f4f945d7c21_p030_paragraph_005;新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p033_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0017,T0003,T0015,DISPLAY_PARENT_OF,2,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004;新型显示白皮书_7f4f945d7c21_p032_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0018,T0003,T0016,DISPLAY_PARENT_OF,3,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0019,T0003,T0017,DISPLAY_PARENT_OF,4,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0020,T0003,T0018,DISPLAY_PARENT_OF,5,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p032_paragraph_004;新型显示白皮书_7f4f945d7c21_p032_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0021,T0003,T0019,DISPLAY_PARENT_OF,6,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
