review_id,source_file,original_priority,review_type,subject,relation_type,object,entity_or_relation_id,issue_summary,auto_decision,enter_conservative_draft,manual_required,decision_reason,recommended_human_decision
RV0001,manual_review_sheet.csv,P3,entity_review,测试,,,CE0004,"同名类型无法唯一判定: ['industry_link', 'process']",auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0002,manual_review_sheet.csv,P3,entity_review,半导体生态,,,CE0041,仅出现在关系端点，无独立实体候选,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0003,manual_review_sheet.csv,P3,stage3c_carryover,,non_atomic_relation_endpoint,,t01_r10,关系候选待复核: SoC芯片->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0004,manual_review_sheet.csv,P3,stage3c_carryover,,non_atomic_relation_endpoint,,t01_r11,关系候选待复核: CPU/GPU/ASIC->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0005,manual_review_sheet.csv,P3,stage3c_carryover,,non_atomic_relation_endpoint,,t01_r12,关系候选待复核: 云计算->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0006,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e10,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0007,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e11,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0008,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e12,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0009,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e13,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0010,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e14,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0011,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e15,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0012,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e16,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0013,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e17,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0014,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t01_e18,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0015,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0016,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0017,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0018,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0019,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0020,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r06,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0021,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r07,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0022,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0023,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t01_r09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0024,manual_review_sheet.csv,P1,stage3c_carryover,,non_atomic_relation_endpoint,,t03_r01,关系候选待复核: 设备->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 设备->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片
RV0025,manual_review_sheet.csv,P1,stage3c_carryover,,non_atomic_relation_endpoint,,t03_r02,关系候选待复核: 原材料->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 原材料->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片
RV0026,manual_review_sheet.csv,P1,stage3c_carryover,,non_atomic_relation_endpoint,,t03_r03,关系候选待复核: EDA软件->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: EDA软件->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片
RV0027,manual_review_sheet.csv,P1,stage3c_carryover,,non_atomic_relation_endpoint,,t03_r04,关系候选待复核: 硅片->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 硅片->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片
