review_id,review_type,priority,subject,relation_type,object,entity_or_relation_id,evidence_pages,evidence_quotes,issue_summary,recommended_decision,human_decision,human_comment
RV0001,stage3c_carryover,P0,,relation_endpoint_type_mismatch,,t01_r01,11,,关系候选待复核: 产业链->INPUT_TO->产业链上下游,人工核对原文与结论,,
RV0002,stage3c_carryover,P0,,relation_cue_missing,,t01_r02,33,,关系候选待复核: 新型显示产业->SUPPLIES_TO->产业链,人工核对原文与结论,,
RV0003,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t01_r04,16,,关系候选待复核: 面板制造企业->USES_TECHNOLOGY->配套材料,人工核对原文与结论,,
RV0004,stage3c_carryover,P3,,quote_not_found,,t01_e05,33,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0005,stage3c_carryover,P3,,subject_or_object_not_found,,t01_r03,33,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0006,stage3c_carryover,P3,,subject_or_object_not_found,,t01_r05,16,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0007,stage3c_carryover,P1,,relation_cue_missing,,t02_r03,33,,关系候选待复核: 显示材料产业->SUPPLIES_TO->产业集群,人工核对原文与结论,,
RV0008,stage3c_carryover,P3,,subject_or_object_not_found,,t02_e01,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0009,stage3c_carryover,P3,,subject_or_object_not_found,,t02_r01,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0010,stage3c_carryover,P3,,subject_or_object_not_found,,t02_r02,33,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0011,stage3c_carryover,P1,,relation_cue_missing,,t03_r01,18,,关系候选待复核: 关键原材料->INPUT_TO->显示面板,人工核对原文与结论,,
RV0012,stage3c_carryover,P3,,subject_or_object_not_found,,t03_e09,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0013,stage3c_carryover,P3,,quote_not_found,,t03_e11,32,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0014,stage3c_carryover,P3,,quote_not_found,,t03_e12,29,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0015,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r02,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0016,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r03,29,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0017,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r04,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0018,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r05,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0019,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r06,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0020,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r07,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0021,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r08,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0022,stage3c_carryover,P3,,relation_type_invalid,,t03_r09,29,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0023,stage3c_carryover,P0,,relation_endpoint_type_mismatch,,t04_r01,11,,关系候选待复核: 产业链->INPUT_TO->上下游,人工核对原文与结论,,
RV0024,stage3c_carryover,P3,,subject_or_object_not_found,,t04_e03,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0025,stage3c_carryover,P3,,quote_not_found,,t04_e08,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0026,stage3c_carryover,P3,,quote_not_found,,t04_e09,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
