item_id,item_type,page_no,reason,severity,recommended_action,related_output_path
review_table_p008_t01,table,8,表格结构需人工复核：行数=11，常见列数=7，填充率=0.04，列数一致性=1.00,high,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_008_table_01.json
review_table_p009_t01,table,9,表格结构需人工复核：行数=10，常见列数=10，填充率=0.03，列数一致性=1.00,high,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_009_table_01.json
review_table_p012_t01,table,12,表格结构需人工复核：行数=13，常见列数=15，填充率=0.28，列数一致性=1.00,medium,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_012_table_01.json
review_table_p013_t01,table,13,表格结构需人工复核：行数=14，常见列数=9，填充率=0.05，列数一致性=1.00,high,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_013_table_01.json
review_table_p015_t01,table,15,表格结构需人工复核：行数=2，常见列数=2，填充率=0.00，列数一致性=1.00,high,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_015_table_01.json
review_table_p017_t01,table,17,表格结构需人工复核：行数=1，常见列数=3，填充率=1.00，列数一致性=1.00,medium,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_017_table_01.json
review_table_p019_t01,table,19,表格结构需人工复核：行数=19，常见列数=12，填充率=0.19，列数一致性=1.00,medium,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_019_table_01.json
review_table_p020_t01,table,20,表格结构需人工复核：行数=7，常见列数=2，填充率=0.50，列数一致性=1.00,medium,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_020_table_01.json
review_table_p021_t01,table,21,表格结构需人工复核：行数=5，常见列数=4，填充率=0.40，列数一致性=1.00,medium,verify_table_structure,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\tables\page_021_table_01.json
review_chain_diagram_p009,chain_diagram,9,产业链图仅归档为视觉证据，节点、箭头方向和关系需人工复核,high,manual_visual_review_before_relation_extraction,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_009_chain_diagram.png
review_chain_diagram_p014,chain_diagram,14,产业链图仅归档为视觉证据，节点、箭头方向和关系需人工复核,high,manual_visual_review_before_relation_extraction,parsed_documents\中国半导体白皮书_1b73a8b1f91b_20260713_171812\figures\page_014_chain_diagram.png
