canonical_entity_id,canonical_name,entity_type,entity_level,value_chain_stage,source_entity_candidate_ids,aliases,evidence_count,relation_degree,confidence_level,review_status,review_reason
CE0001,产业链,industry_link,L3_industry_link,unknown,t01_e01;t02_e02;t04_e01;t10_e02,,1,0,medium,auto_candidate,"同名类型已按证据规则合并: ['industry', 'industry_link'] -> industry_link"
CE0002,产业链上下游,industry_link,L3_industry_link,unknown,t01_e02,,1,0,medium,auto_candidate,
CE0003,新型显示产业,industry,L0_industry,cross_stage,t01_e03;t10_e01,,2,0,high,auto_candidate,
CE0004,显示材料,material,L4_object,upstream,t01_e04;t03_e02;t03_e10;t04_e12;t07_e06,,4,0,high,auto_candidate,
CE0005,产业集群,region,auxiliary,supporting,t01_e06;t02_e04,,1,0,medium,auto_candidate,"同名类型已按证据规则合并: ['region', 'sub_chain'] -> region"
CE0006,配套材料,material,L4_object,upstream,t01_e07,,1,0,medium,auto_candidate,
CE0007,显示器件,product,L4_object,unknown,t01_e08,,1,0,medium,auto_candidate,
CE0008,供应链,industry_link,L3_industry_link,unknown,t02_e03;t10_e04,,1,0,medium,auto_candidate,
CE0009,显示材料产业,sub_chain,L2_sub_chain,cross_stage,t02_e05,,1,0,medium,auto_candidate,
CE0010,关键原材料,material,L4_object,upstream,t03_e01,,1,0,medium,auto_candidate,
CE0011,玻璃基板,material,L4_object,upstream,t03_e03;t05_e01;t09_e03,,2,1,high,auto_candidate,"同名类型已按证据规则合并: ['material', 'product'] -> material"
CE0012,OLED 材料,material,L4_object,upstream,t03_e04;t04_e16;t09_e04,,2,0,high,auto_candidate,
CE0013,显示芯片,material,L4_object,upstream,t03_e05;t04_e17;t09_e05,,2,0,high,auto_candidate,
CE0014,掩模版,material,L4_object,upstream,t03_e06;t04_e14;t05_e05;t09_e06,,3,0,high,auto_candidate,"同名类型已按证据规则合并: ['material', 'product'] -> material"
CE0015,靶材,material,L4_object,upstream,t03_e07;t04_e18,,2,0,high,auto_candidate,
CE0016,液晶材料,material,L4_object,upstream,t03_e08;t05_e03,,2,0,high,auto_candidate,"同名类型已按证据规则合并: ['material', 'product'] -> material"
CE0017,上下游,industry_link,L3_industry_link,unknown,t04_e02,,1,0,medium,auto_candidate,
CE0018,加工,process,L4_object,midstream,t04_e04,,1,0,medium,auto_candidate,
CE0019,采购,industry_link,L3_industry_link,unknown,t04_e05,,1,0,medium,auto_candidate,
CE0020,营销,industry_link,L3_industry_link,unknown,t04_e06,,1,0,medium,auto_candidate,
CE0021,物流,industry_link,L3_industry_link,unknown,t04_e07,,1,0,medium,auto_candidate,
CE0022,彩色滤光片,material,L4_object,upstream,t04_e15,,1,0,medium,auto_candidate,
CE0023,湿电子化学品,material,L4_object,upstream,t04_e19,,1,0,medium,auto_candidate,
CE0024,光刻胶,material,L4_object,upstream,t04_e20,,1,0,medium,auto_candidate,
CE0025,有机发光材料,product,L4_object,unknown,t05_e04,,1,0,medium,auto_candidate,
CE0026,全面屏手机,product,L4_object,unknown,t07_e01,,1,0,medium,auto_candidate,
CE0027,4K/8K 电视,product,L4_object,unknown,t07_e02,,1,0,medium,auto_candidate,
CE0028,AR/VR,application,L4_object,downstream,t07_e03,,1,0,medium,auto_candidate,
CE0029,可穿戴设备,application,L4_object,downstream,t07_e04,,1,0,medium,auto_candidate,
CE0030,显示面板,product,L4_object,unknown,t07_e05;t09_e07,,2,0,high,auto_candidate,
CE0031,新型显示技术,technology,L4_object,supporting,t08_e01,,1,4,medium,auto_candidate,
CE0032,薄膜晶体管液晶显示(TFT-LCD),technology,L4_object,supporting,t08_e02,,1,1,medium,auto_candidate,
CE0033,主动矩阵有机发光二极管显示(AMOLED),technology,L4_object,supporting,t08_e03,,1,1,medium,auto_candidate,
CE0034,微型发光二极管显示(Micro-LED),technology,L4_object,supporting,t08_e04,,1,1,medium,auto_candidate,
CE0035,激光显示,technology,L4_object,supporting,t08_e05,,1,1,medium,auto_candidate,
CE0036,先进电子材料,material,L4_object,upstream,t08_e06,,1,1,medium,auto_candidate,
CE0037,新型显示材料,material,L4_object,upstream,t08_e07;t09_e02,,2,1,high,auto_candidate,
CE0038,新型显示器件,product,L4_object,unknown,t08_e08,,1,2,medium,auto_candidate,
CE0039,薄膜晶体管液晶显示器件,product,L4_object,unknown,t08_e09,,1,1,medium,auto_candidate,
CE0040,有机发光二极管显示面板,product,L4_object,unknown,t08_e10,,1,1,medium,auto_candidate,
CE0041,新型显示产业链,industry,L0_industry,cross_stage,t09_e01,,1,0,medium,auto_candidate,
CE0042,财关税政策,policy,auxiliary,supporting,t09_e10,,1,0,medium,auto_candidate,
CE0043,液晶面板,product,L4_object,unknown,t09_e11,,1,1,medium,auto_candidate,
CE0044,产业生态,industry_link,L3_industry_link,unknown,t10_e03,,1,0,medium,auto_candidate,
CE0045,产业政策环境,policy,auxiliary,supporting,t10_e05,,1,0,medium,auto_candidate,
CE0046,产业和专项政策,policy,auxiliary,supporting,t10_e06,,1,0,medium,auto_candidate,
