branch_label,depth,child_count,evidence_count,entity_count,relation_count,is_display_schema_node,quality_status,issue,recommended_action
晶圆制造,1,3,0,1,0,false,ok,,保持
光刻,2,0,1,1,0,false,ok,,保持
沉积,2,0,1,1,0,false,ok,,保持
离子注入,2,0,1,1,0,false,ok,,保持
计算芯片,1,2,0,1,0,false,ok,,保持
ASIC,2,0,1,1,0,false,ok,,保持
GPU,2,0,1,1,0,false,ok,,保持
半导体产品与应用,1,10,4,0,0,true,ok,,保持
AI推理芯片,2,0,1,1,0,false,ok,,保持
传感器,2,0,1,1,0,false,ok,,保持
光电子器件,2,0,1,1,0,false,ok,,保持
分立器件,2,0,1,1,0,false,ok,,保持
智能化,2,0,1,1,0,false,ok,,保持
汽车半导体,2,0,1,1,0,false,ok,,保持
电动车,2,0,1,1,0,false,ok,,保持
网联化,2,0,1,1,0,false,ok,,保持
芯片,2,0,1,1,0,false,ok,,保持
集成电路,2,0,1,1,0,false,ok,,保持
半导体材料,1,7,2,0,0,true,ok,,保持
光刻胶,2,0,1,1,0,false,ok,,保持
化学品,2,0,1,1,0,false,ok,,保持
基材,2,0,1,1,0,false,ok,,保持
封装材料,2,0,1,1,0,false,ok,,保持
气体,2,0,1,1,0,false,ok,,保持
硅片,2,0,1,1,0,false,ok,,保持
金属,2,0,1,1,0,false,ok,,保持
半导体核心环节,1,6,5,0,0,true,ok,,保持
代工,2,0,1,1,0,false,ok,,保持
设计,2,0,1,1,0,false,ok,,保持
OSAT,2,0,1,1,0,false,ok,,保持
刻蚀,2,0,1,1,0,false,ok,,保持
半导体设计制造,2,0,1,1,0,false,ok,,保持
封测,2,0,1,1,0,false,ok,,保持
半导体技术,1,4,3,0,0,true,ok,,保持
2.5D/3D先进封装,2,0,1,1,0,false,ok,,保持
EDA,2,0,1,1,0,false,ok,,保持
EDA软件,2,0,1,1,0,false,ok,,保持
先进封装技术,2,0,1,1,0,false,ok,,保持
半导体设备,1,3,2,0,0,true,ok,,保持
光刻机,2,0,1,1,0,false,ok,,保持
晶圆缺陷监测系统,2,0,1,1,0,false,ok,,保持
沉积设备,2,0,1,1,0,false,ok,,保持
