node_label,depth,parent_label,child_count,evidence_count,entity_count,is_company_node,is_display_schema_node,quality_status,issue,recommended_action
先进电子材料,1,新型显示产业链,1,0,1,false,false,weak_branch,一级分支子节点不足,补充更多已审核实体或章节证据
新型显示器件,1,新型显示产业链,2,0,1,false,false,ok,,保持
新型显示技术,1,新型显示产业链,4,0,1,false,false,ok,,保持
液晶面板,1,新型显示产业链,1,0,1,false,false,weak_branch,一级分支子节点不足,补充更多已审核实体或章节证据
新型显示核心环节,1,新型显示产业链,5,2,0,false,true,ok,,保持
新型显示产品与应用,1,新型显示产业链,4,3,0,false,true,ok,,保持
新型显示设备,1,新型显示产业链,2,1,0,false,true,ok,,保持
新型显示材料,2,先进电子材料,10,1,1,false,false,ok,,保持
有机发光二极管显示面板,2,新型显示器件,0,1,1,false,false,ok,,保持
薄膜晶体管液晶显示器件,2,新型显示器件,0,1,1,false,false,ok,,保持
主动矩阵有机发光二极管显示(AMOLED),2,新型显示技术,0,1,1,false,false,ok,,保持
微型发光二极管显示(Micro-LED),2,新型显示技术,0,1,1,false,false,ok,,保持
激光显示,2,新型显示技术,0,1,1,false,false,ok,,保持
薄膜晶体管液晶显示(TFT-LCD),2,新型显示技术,0,1,1,false,false,ok,,保持
玻璃基板,2,液晶面板,0,1,1,false,false,ok,,保持
产业生态,2,新型显示核心环节,0,1,1,false,false,ok,,保持
加工,2,新型显示核心环节,0,1,1,false,false,ok,,保持
物流,2,新型显示核心环节,0,1,1,false,false,ok,,保持
营销,2,新型显示核心环节,0,1,1,false,false,ok,,保持
采购,2,新型显示核心环节,0,1,1,false,false,ok,,保持
显示面板,2,新型显示产品与应用,0,2,1,false,false,ok,,保持
4K/8K电视,2,新型显示产品与应用,0,1,1,false,false,ok,,保持
AR/VR,2,新型显示产品与应用,0,1,1,false,false,ok,,保持
显示器件,2,新型显示产品与应用,0,1,1,false,false,ok,,保持
全面屏手机,2,新型显示设备,0,1,1,false,false,ok,,保持
可穿戴设备,2,新型显示设备,0,1,1,false,false,ok,,保持
显示材料,3,新型显示材料,0,4,1,false,false,ok,,保持
掩模版,3,新型显示材料,0,3,1,false,false,ok,,保持
OLED材料,3,新型显示材料,0,2,1,false,false,ok,,保持
显示芯片,3,新型显示材料,0,2,1,false,false,ok,,保持
液晶材料,3,新型显示材料,0,2,1,false,false,ok,,保持
靶材,3,新型显示材料,0,2,1,false,false,ok,,保持
光刻胶,3,新型显示材料,0,1,1,false,false,ok,,保持
彩色滤光片,3,新型显示材料,0,1,1,false,false,ok,,保持
有机发光材料,3,新型显示材料,0,1,1,false,false,ok,,保持
湿电子化学品,3,新型显示材料,0,1,1,false,false,ok,,保持
