approved_entity_id,canonical_name,entity_type,entity_level,value_chain_stage,aliases,source_entity_candidate_ids,evidence_count,relation_degree,approval_status,approval_source,approval_reason,review_ids_applied
CE0002,新型显示产业,industry,L0_industry,cross_stage,,t01_e03;t10_e01,2,0,approved,conservative_carryover,保守草案直接继承,
CE0004,显示材料,material,L4_object,upstream,,t01_e05;t03_e02;t07_e06;t07_e10,4,0,approved,conservative_carryover,保守草案直接继承,
CE0005,配套材料,material,L4_object,upstream,,t01_e06,1,0,approved,conservative_carryover,保守草案直接继承,
CE0007,产业链协同,industry,L0_industry,cross_stage,,t01_e08,1,0,approved,conservative_carryover,保守草案直接继承,
CE0009,创新链,industry_link,L3_industry_link,unknown,,t02_e06;t10_e06,1,0,approved,conservative_carryover,"同名类型已按证据规则合并: ['industry_link', 'process'] -> industry_link",
CE0010,短板材料,material,L4_object,upstream,,t02_e07,1,0,approved,conservative_carryover,保守草案直接继承,
CE0011,核心技术,technology,L4_object,supporting,,t02_e08,1,0,approved,conservative_carryover,保守草案直接继承,
CE0012,关键原材料,material,L4_object,upstream,,t03_e01,1,0,approved,conservative_carryover,保守草案直接继承,
CE0013,OLED 材料,material,L4_object,upstream,,t03_e03;t09_e04,1,0,approved,conservative_carryover,保守草案直接继承,
CE0014,显示芯片,material,L4_object,upstream,,t03_e04;t09_e05,1,0,approved,conservative_carryover,保守草案直接继承,
CE0015,掩模版,material,L4_object,upstream,,t03_e05;t05_e05;t09_e06,2,0,approved,conservative_carryover,"同名类型已按证据规则合并: ['material', 'product'] -> material",
CE0016,靶材,material,L4_object,upstream,,t03_e06,1,0,approved,conservative_carryover,保守草案直接继承,
CE0017,玻璃基板,material,L4_object,upstream,,t03_e07;t05_e01;t07_e08;t09_e03,3,1,approved,conservative_carryover,"同名类型已按证据规则合并: ['material', 'product'] -> material",
CE0018,液晶材料,material,L4_object,upstream,,t03_e08;t05_e03,2,0,approved,conservative_carryover,"同名类型已按证据规则合并: ['material', 'product'] -> material",
CE0019,上下游,industry_link,L3_industry_link,unknown,,t04_e02,1,0,approved,conservative_carryover,保守草案直接继承,
CE0020,材料,material,L4_object,upstream,,t04_e03,1,0,approved,conservative_carryover,保守草案直接继承,
CE0021,工艺,process,L4_object,midstream,,t04_e04,1,0,approved,conservative_carryover,保守草案直接继承,
CE0022,产品,product,L4_object,unknown,,t04_e05,1,0,approved,conservative_carryover,保守草案直接继承,
CE0023,偏光片,product,L4_object,unknown,,t05_e02,1,0,approved,conservative_carryover,保守草案直接继承,
CE0024,有机发光材料,product,L4_object,unknown,,t05_e04,1,0,approved,conservative_carryover,保守草案直接继承,
CE0025,全面屏手机,product,L4_object,unknown,,t07_e01,1,0,approved,conservative_carryover,保守草案直接继承,
CE0026,4K/8K 电视,product,L4_object,unknown,,t07_e02,1,0,approved,conservative_carryover,保守草案直接继承,
CE0027,AR/VR,application,L4_object,downstream,,t07_e03,1,0,approved,conservative_carryover,保守草案直接继承,
CE0028,可穿戴设备,application,L4_object,downstream,,t07_e04,1,0,approved,conservative_carryover,保守草案直接继承,
CE0029,显示面板,product,L4_object,unknown,,t07_e05;t09_e07,2,0,approved,conservative_carryover,保守草案直接继承,
CE0030,湿电子化学品,material,L4_object,upstream,,t07_e09,1,0,approved,conservative_carryover,保守草案直接继承,
CE0031,新型显示技术,technology,L4_object,supporting,,t08_e01,1,4,approved,conservative_carryover,保守草案直接继承,
CE0032,薄膜晶体管液晶显示(TFT-LCD),technology,L4_object,supporting,,t08_e02,1,1,approved,conservative_carryover,保守草案直接继承,
CE0033,主动矩阵有机发光二极管显示(AMOLED),technology,L4_object,supporting,,t08_e03,1,1,approved,conservative_carryover,保守草案直接继承,
CE0034,微型发光二极管显示(Micro-LED),technology,L4_object,supporting,,t08_e04,1,1,approved,conservative_carryover,保守草案直接继承,
CE0035,激光显示,technology,L4_object,supporting,,t08_e05,1,1,approved,conservative_carryover,保守草案直接继承,
CE0036,先进电子材料,material,L4_object,upstream,,t08_e06,1,1,approved,conservative_carryover,保守草案直接继承,
CE0037,新型显示材料,material,L4_object,upstream,,t08_e07;t09_e02,2,1,approved,conservative_carryover,保守草案直接继承,
CE0038,新型显示器件,product,L4_object,unknown,,t08_e08,1,2,approved,conservative_carryover,保守草案直接继承,
CE0039,薄膜晶体管液晶显示器件,product,L4_object,unknown,,t08_e09,1,1,approved,conservative_carryover,保守草案直接继承,
CE0040,有机发光二极管显示面板,product,L4_object,unknown,,t08_e10,1,1,approved,conservative_carryover,保守草案直接继承,
CE0041,新型显示产业链,industry,L0_industry,cross_stage,,t09_e01,1,0,approved,conservative_carryover,保守草案直接继承,
CE0042,液晶面板,product,L4_object,unknown,,t09_e09,1,1,approved,conservative_carryover,保守草案直接继承,
CE0043,产业生态,industry_link,L3_industry_link,unknown,,t10_e03,1,0,approved,conservative_carryover,保守草案直接继承,
