recheck_id,source_candidate_id,candidate_type,original_reject_reason,surface_form_or_relation,evidence_id,page_no,quote,possible_recovery_reason,recommended_action,review_required
RC0001,t01_e02,entity,subject_or_object_not_found,t01_e02,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0002,t01_r01,relation,subject_or_object_not_found,t01_r01,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0003,t01_r03,relation,subject_or_object_not_found,t01_r03,新型显示白皮书_7f4f945d7c21_p016_paragraph_003,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0004,t02_e01,entity,subject_or_object_not_found,t02_e01,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0005,t02_e03,entity,quote_not_found,t02_e03,新型显示白皮书_7f4f945d7c21_p011_paragraph_004,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0006,t02_r01,relation,subject_or_object_not_found,t02_r01,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0007,t02_r02,relation,quote_not_found,t02_r02,新型显示白皮书_7f4f945d7c21_p011_paragraph_004,11,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0008,t02_r04,relation,subject_or_object_not_found,t02_r04,新型显示白皮书_7f4f945d7c21_p033_paragraph_004,33,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0009,t02_r05,relation,subject_or_object_not_found,t02_r05,新型显示白皮书_7f4f945d7c21_p033_paragraph_004,33,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0010,t03_r02,relation,subject_or_object_not_found,t03_r02,新型显示白皮书_7f4f945d7c21_p030_paragraph_005,30,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0011,t03_r03,relation,subject_or_object_not_found,t03_r03,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0012,t03_r04,relation,subject_or_object_not_found,t03_r04,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
