doc_id,page_no,page_label,page_type,classification_method,classification_confidence,native_text_char_count,text_extractable,text_quality,needs_ocr,has_images,has_table_candidate,table_candidate_count,has_chart_candidate,has_chain_diagram_candidate,has_chain_diagram_confirmed,layout_complexity,recommended_parser,review_required,quality_note
中国半导体白皮书_1b73a8b1f91b,1,1,cover,heuristic+visual_review,0.90,8,partial,low,no,yes,no,0,no,no,no,medium,native_text_with_layout,no,原生文本字符数偏低或中文比例偏低；视觉复核：视觉核验为封面，标题可读；封面图片无需本阶段OCR
中国半导体白皮书_1b73a8b1f91b,2,2,copyright,heuristic+visual_review,0.90,15,partial,low,no,no,no,0,no,no,no,simple,native_text,no,原生文本字符数偏低或中文比例偏低；视觉复核：视觉核验为版权页，仅含版权声明；无需OCR
中国半导体白皮书_1b73a8b1f91b,3,3,toc,heuristic+visual_review,0.90,2378,partial,low,no,no,no,0,no,no,no,medium,native_text_with_layout,no,原生文本字符数偏低或中文比例偏低；视觉复核：视觉核验为目录页；点线在原生文本中有乱码但目录条目可读
中国半导体白皮书_1b73a8b1f91b,4,4,toc,heuristic+visual_review,0.90,1239,partial,low,no,no,no,0,no,no,no,medium,native_text_with_layout,no,疑似原生文本乱码；OCR需求=maybe；视觉复核：视觉核验为目录续页；目录条目可读
中国半导体白皮书_1b73a8b1f91b,5,5,paragraph,heuristic,0.76,393,yes,normal,no,yes,no,0,no,no,no,medium,native_text_with_layout,no,原生文本正常
中国半导体白皮书_1b73a8b1f91b,6,6,paragraph,heuristic,0.76,1192,yes,normal,no,no,no,0,no,no,no,medium,native_text_with_layout,no,原生文本正常
中国半导体白皮书_1b73a8b1f91b,7,7,chart,heuristic+visual_review,0.90,980,yes,normal,no,no,no,0,yes,no,no,complex,chart_caption_only,yes,原生文本正常；图表候选；视觉复核：视觉核验为统计图表页，非产业链图
中国半导体白皮书_1b73a8b1f91b,8,8,chart,heuristic+visual_review,0.90,1004,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选；视觉复核：视觉核验为统计图表加正文页，非产业链图
中国半导体白皮书_1b73a8b1f91b,9,9,chain_diagram,heuristic+visual_review,0.90,1173,yes,normal,no,no,yes,1,yes,yes,yes,complex,diagram_visual_review,yes,原生文本正常；表格候选；图表候选；含产业链相关关键词，需视觉复核；视觉复核：视觉核验为半导体价值链主要环节图，需二阶段复核节点和方向
中国半导体白皮书_1b73a8b1f91b,10,10,paragraph,heuristic,0.76,1365,yes,normal,no,no,no,0,no,no,no,medium,native_text_with_layout,no,原生文本正常
中国半导体白皮书_1b73a8b1f91b,11,11,chart,heuristic,0.65,1196,yes,normal,no,no,no,0,yes,no,no,complex,chart_caption_only,yes,原生文本正常；图表候选
中国半导体白皮书_1b73a8b1f91b,12,12,mixed,heuristic,0.68,1351,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选
中国半导体白皮书_1b73a8b1f91b,13,13,mixed,heuristic,0.68,952,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选
中国半导体白皮书_1b73a8b1f91b,14,14,chain_diagram,heuristic+visual_review,0.90,1041,yes,normal,no,no,no,0,yes,yes,yes,complex,diagram_visual_review,yes,原生文本正常；图表候选；含产业链相关关键词，需视觉复核；视觉复核：视觉核验为中国在半导体价值链各环节机会挑战图，需复核节点与表格结构
中国半导体白皮书_1b73a8b1f91b,15,15,mixed,heuristic,0.68,981,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选
中国半导体白皮书_1b73a8b1f91b,16,16,paragraph,heuristic,0.76,1084,yes,normal,no,no,no,0,no,no,no,medium,native_text_with_layout,no,原生文本正常
中国半导体白皮书_1b73a8b1f91b,17,17,table,heuristic+visual_review,0.90,1226,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选；视觉复核：视觉核验为市场地位矩阵/表格，非产业链图
中国半导体白皮书_1b73a8b1f91b,18,18,chart,heuristic,0.65,1181,yes,normal,no,no,no,0,yes,no,no,medium,chart_caption_only,yes,原生文本正常；图表候选
中国半导体白皮书_1b73a8b1f91b,19,19,mixed,heuristic,0.68,1233,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选
中国半导体白皮书_1b73a8b1f91b,20,20,mixed,heuristic,0.68,904,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选
中国半导体白皮书_1b73a8b1f91b,21,21,mixed,heuristic,0.68,1038,yes,normal,no,no,yes,1,yes,no,no,complex,table_parser,yes,原生文本正常；表格候选；图表候选
中国半导体白皮书_1b73a8b1f91b,22,22,paragraph,heuristic+visual_review,0.90,983,yes,normal,no,no,no,0,no,no,no,medium,native_text,no,原生文本正常；视觉复核：视觉核验为正文页，非产业链图
中国半导体白皮书_1b73a8b1f91b,23,23,paragraph,heuristic,0.76,421,yes,normal,no,no,no,0,no,no,no,medium,native_text_with_layout,no,原生文本正常
中国半导体白皮书_1b73a8b1f91b,24,24,paragraph,heuristic,0.76,643,yes,normal,no,no,no,0,no,no,no,simple,native_text,no,原生文本正常
中国半导体白皮书_1b73a8b1f91b,25,25,mixed,heuristic+visual_review,0.90,31,partial,low,maybe,no,no,0,no,no,no,complex,native_text_with_layout,yes,原生文本字符数偏低或中文比例偏低；OCR需求=maybe；视觉复核：视觉核验为尾页，含二维码和品牌信息；不属于产业链建模核心内容
