tree_edge_id,parent_tree_node_id,child_tree_node_id,edge_type,sort_order,source_from,is_evidence_fact,evidence_ids,notes
TE0001,T0001,T0002,DISPLAY_PARENT_OF,1,document_driven_rules,false,,关系子树根挂载到产业链总根
TE0002,T0002,T0003,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p018_paragraph_001,由approved关系NR0005确定父子层级
TE0003,T0001,T0004,DISPLAY_PARENT_OF,2,document_driven_rules,false,,关系子树根挂载到产业链总根
TE0004,T0004,T0005,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p017_paragraph_002,由approved关系NR0007确定父子层级
TE0005,T0004,T0006,DISPLAY_PARENT_OF,2,approved_relation,true,新型显示白皮书_7f4f945d7c21_p017_paragraph_002,由approved关系NR0006确定父子层级
TE0006,T0001,T0007,DISPLAY_PARENT_OF,3,document_driven_rules,false,,关系子树根挂载到产业链总根
TE0007,T0007,T0008,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0002确定父子层级
TE0008,T0007,T0009,DISPLAY_PARENT_OF,2,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0003确定父子层级
TE0009,T0007,T0010,DISPLAY_PARENT_OF,3,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0004确定父子层级
TE0010,T0007,T0011,DISPLAY_PARENT_OF,4,approved_relation,true,新型显示白皮书_7f4f945d7c21_p004_paragraph_001,由approved关系NR0001确定父子层级
TE0011,T0001,T0012,DISPLAY_PARENT_OF,4,document_driven_rules,false,,关系子树根挂载到产业链总根
TE0012,T0012,T0013,DISPLAY_PARENT_OF,1,approved_relation,true,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,由approved关系NR0008确定父子层级
